Altium Designer Pick and Place Locations
C:\Users\lunal\OneDrive\Documents\GitHub\Velostat_force_sensor\Project Outputs for Free Documents\Pick Place\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       04/01/26
Time:       15:25
Revision:   37058ef2ff038c469829991f44f9bc7454ad0ab4
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J2","XT60-M","TopLayer","AMASS_XT60-M","109.8550","183.8960","0","Plug; DC supply; XT60; male; PIN: 2; for cable; soldered; 30A; 500V"
"U39","Ideal Operational Amplifier","TopLayer","DCK0005A-IPC_B","143.2560","174.6250","0","Ideal Operational Amplifier"
"U33","Ideal Operational Amplifier","TopLayer","DCK0005A-IPC_B","143.2560","165.1000","0","Ideal Operational Amplifier"
"U32","Ideal Operational Amplifier","TopLayer","DCK0005A-IPC_B","143.2560","183.7690","0","Ideal Operational Amplifier"
"U24","Ideal Operational Amplifier","TopLayer","DCK0005A-IPC_B","143.2560","178.8160","0","Ideal Operational Amplifier"
"U22","Ideal Operational Amplifier","TopLayer","DCK0005A-IPC_B","143.2560","160.5130","0","Ideal Operational Amplifier"
"U15","Ideal Operational Amplifier","TopLayer","DCK0005A-IPC_B","143.2560","169.6870","0","Ideal Operational Amplifier"
"U1","LMR23630-Q1","TopLayer","DDA0008E_N","106.8070","127.2540","180","Buck Converter"
"L2","6.8uH","TopLayer","INDPM5752X300N","116.7130","128.2700","90","6.8uH Inductor"
"C40","2.2uF","TopLayer","CAP_SM0603_YAGEOCC2_N","112.1410","129.1940","270","CAP CER 2.2UF 25V X5R 0603"
"U9","LMR23630-Q1","TopLayer","DDA0008E_N","100.8380","117.0940","180","Buck Converter"
"R19","22k1 0.1%","TopLayer","RES_SM0603_YAGEORC_N","106.1720","131.5720","270","RES 22K1 0.1% SM0603 YAGEO RC_L"
"R18","22K1","TopLayer","RES_SM0603_YAGEORC_N","103.6320","121.4120","270","RES 22K1 SM0603 YAGEO RC_L"
"R17","88K7","TopLayer","RES_SM0603_YAGEORC_N","101.8540","121.4120","90","RES 88K7 SM0603 YAGEO RC_L"
"R11","51k 0.1%","TopLayer","RES_SM0603_YAGEORC_N","107.9500","131.5070","90","RES 51K 0.1% SM0603 YAGEO RC_L"
"L1","SRP5030TA-100M, 10uH","TopLayer","INDPM5752X300N","109.7280","118.1100","90","10 uH Inductor"
"IC1","LM3940IMPX-3.3_NOPB","TopLayer","SOT230P700X180-4N","115.9760","174.7520","0","3V3 LDO"
"D2","SBRT15U50SP5-13","TopLayer","SBRT15U50SP5-13","90.7190","120.3960","270","Reverse Polarity Protection"
"D1","SMAJ30CA","TopLayer","LFUS-DO-214AC-A-2_V","91.6940","115.8240","180","Transient Voltage Suppression Diode, 30 V, -65 to 150 degC, 2-Pin SMD, RoHS, Tape and Reel"
"C33","47uF","TopLayer","CAPPM3216X180N","109.8550","174.1170","90","47uF 10V Tantalum Capacitor For LM3940IMPX-3.3_NOPB LDO"
"C32","470nF","TopLayer","CAPC1608X90N","109.9820","178.2700","270","SMD/SMT CGA 0603 50V 0.47uF X7R 10% AEC-Q200"
"C25","47uF","TopLayer","CAP_SM0603_YAGEOCC2_N","121.4120","131.5720","180","CAP 47uF SM0603 X5R 4V YAGEO CC2"
